Globocassidulina_biora_17225	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Cassidulinidae	g__Globocassidulina	s__biora
Haynesina_germanica_18209	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nonionidae	g__Haynesina	s__
Heterostegina_depressa_sp1	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Heterostegina	s__depressa
Heterostegina_depressa_sp2	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Heterostegina	s__depressa
Heterostegina_depressa_14668	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Heterostegina	s__depressa
Lacogromia_cassipara_18990	k__Eukaryota	p__Foraminifera	c__Monothalamea	o__	f__Lacogromiidae	g__Lacogromia	s__cassipara
Marginopora_vertebralis	k__Eukaryota	p__Foraminifera	c__Tubothalamea	o__Miliolida	f__Soritidae	g__Marginopora	s__vertebralis
Micrometula_sp._17554	k__Eukaryota	p__Foraminifera	c__Monothalamea	o__Allogromiida	f__Allogromiida	g__Micrometula	s__
Murrayinella_globosa_18043	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Murrayinellidae	g__Murrayinella	s__globosa
Neoassilina_ammonoides_19231	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Neoassilina	s__ammonoides
Neorotalia_calcar	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Rotaliidae	g__Neorotalia	s__gaimardi
Neorotalia_gaimardi__Baculogypsina_sphaerulata	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Rotaliidae	g__Neorotalia	s__gaimardi
Notorotalia_finlayi_16463	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Notorotaliidae	g__Notorotalia	s__finlayi
Nummulites_venosus	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Nummulites	s__venosus
Operculina_ammonoides	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Operculina	s__
Operculina_complanata	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Operculina	s__
Operculina_heterosteginoides	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nummulitidae	g__Operculina	s__
